297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2817;Rajić                    ;43252;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2818;Stančići;43252;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2812;Stare Plavnice           ;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2819;Stari Pavljani;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2820;Tomaš;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2821;Trojstveni Markovac;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2822;Veliko Korenovo;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2823;Zvijerci;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2824;Ždralovi;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2825;Andigola;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2826;Bojana;43245;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2827;Bosiljevo;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2828;Cerina;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2829;Čazma;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2830;Dapci;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2831;Dereza;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2832;Donji Draganec;43245;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2833;Donji Dragičevci;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2834;Donji Lipovčani;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2835;Donji Miklouš;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2836;Gornji Draganec;43245;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2837;Gornji Dragičevci;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2838;Gornji Lipovčani;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2839;Gornji Miklouš;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2840;Grabik;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2841;Grabovnica;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2842;Komuševac;43245;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2843;Marčani;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2844;Martinac;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2845;Milaševac;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2846;Novo Selo;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2847;Općevac;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2848;Palančani;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2849;Pavličani;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2850;Pobjenik;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2851;Pobrđani;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2852;Prnjarovac;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2853;Prokljuvani;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;6733;Sišćani                  ;43245;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2854;Sovari;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2855;Suhaja;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2856;Vagovina;43245;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2857;Vrtlinska;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2858;Vučani;43240;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2859;Zdenčec;43245;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2860;Daruvar;43500;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2861;Daruvarski Vinogradi;43500;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2862;Doljani;43500;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2863;Donji Daruvar;43500;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2864;Gornji Daruvar;43500;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2865;Lipovac Majur;43500;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2866;Ljudevit Selo;43500;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2867;Markovac;43500;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2868;Vrbovac;43500;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2869;Blagorodovac;43507;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2870;Dežanovac;43506;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2871;Donji Sređani;43506;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2872;Drlež;43506;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2873;Golubinjak               ;43500;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2874;Gornji Sređani;43506;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2875;Goveđe Polje;43506;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2876;Ivanovo Polje;43500;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2877;Kaštel Dežanovački;43506;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2878;Kreštelovac;43506;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2879;Sokolovac;43506;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2880;Trojeglava;43506;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2881;Bastajski Brđani;43531;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2883;Batinjani;43500;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2882;Batinjska Rijeka;43500;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2884;Borova Kosa;43531;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2885;Dobra Kuća;43500;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2886;Donja Vrijeska;43531;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2887;Donje Cjepidlake;43532;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2888;Đulovac;43532;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2889;Gornja Vrijeska;43531;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2890;Gornje Cjepidlake;43532;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2891;Katinac;43532;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2892;Koreničani;43531;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2893;Kravljak;33533;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2894;Mala Babina Gora;43532;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2895;Mala Klisa;33533;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2896;Mali Bastaji;43531;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2897;Mali Miletinac;43531;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2909;Maslenjača;43531;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2898;Nova Krivaja;43532;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2899;Potočani;43532;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2900;Puklica;43532;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2901;Removac;43532;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2902;Stara Krivaja;43532;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2903;Škodinovac;43531;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2904;Velika Babina Gora;33533;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2905;Velika Klisa;33533;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2906;Veliki Bastaji;43531;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2907;Veliki Miletinac;43531;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2908;Vukovije;43500;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2910;Ciglenica;43280;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2911;Dišnik;43280;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2912;Duhovi;43507;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2913;Garešnica;43280;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2914;Garešnički Brestovac;43280;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2915;Gornji Uljanik;43507;;True
